locus_tag,gene,mRNA_level
BSU35260,ftsE,3.11
BSU35270,cccB,10.55
BSU35280,yvjA,1.11
BSU35290,prfB,21.54
BSU35300,secA,14.48
BSU35310,yvyD,237.96
BSU35319,yvzG,6.18
BSU35320,fliT,10.35
BSU35330,fliS,7.45
BSU35340,fliD,5.27
BSU35350,yvyC,3.05
BSU35360,hag,205.5
BSU35370,csrA,2.22
BSU35380,yviF,2.16
BSU35400,flgL,8.95
BSU35410,flgK,5.07
BSU35420,yvyG,3.58
BSU35430,flgM,3.46
BSU35440,yvyF,2.04
BSU35480,yviA,3.78
BSU35490,degU,7.37
BSU35500,degS,2.51
BSU35510,yvyE,1.78
BSU35520,yvhJ,3.22
BSU35530,tagO,8.3
BSU35620,lytC,3.56
BSU35630,lytB,1.79
BSU35640,lytA,2.92
BSU35650,lytR,5.72
BSU35660,mnaA,2.15
BSU35670,gtaB,50.78
BSU35690,ggaA,3.17
BSU35700,tagH,7.92
BSU35710,tagG,3.23
BSU35720,tagF,7.67
BSU35730,tagE,2.4
BSU35740,tagD,8.83
BSU35750,tagA,3.39
BSU35760,tagB,1.89
BSU35780,lytD,1.35
BSU35790,yvyI,3.29
BSU35830,ywtG,1.38
BSU35840,ywtF,3.04
BSU35850,ywtE,2.88
BSU35860,pgdS,1.1
BSU35910,rbsR,14.06
BSU35920,rbsK,21.05
BSU35930,rbsD,26.17
BSU35940,rbsA,33.17
BSU35950,rbsC,55.2
BSU35960,rbsB,95.97
BSU35970,ywsB,152.05
BSU35980,ywsA,1.24
BSU35990,ywrO,3.2
BSU36000,alsD,0.63
BSU36010,alsS,0.28
BSU36020,alsR,1.77
BSU36070,cotG,3.7
BSU36080,ywrF,3.09
BSU36090,ywrE,2.18
BSU36110,ywrC,1.46
BSU36120,ywrB,1.91
BSU36130,ywrA,1.98
BSU36170,ywqL,1.32
BSU36230,ywqF,1.06
BSU36250,ptkA,1.35
BSU36269,ywzD,2.48
BSU36280,ywqA,1.87
BSU36290,ywpJ,0.83
BSU36330,ywpF,3.55
BSU36360,mscL,1.81
BSU36370,fabZ,3.96
BSU36380,rapD,1.56
BSU36390,flhP,5.77
BSU36400,flhO,2.83
BSU36410,mbl,8.2
BSU36480,ywoD,1.04
BSU36490,ywoC,1.28
BSU36510,amtB,0.68
BSU36520,glnK,3.51
BSU36530,bcrC,3.42
BSU36560,ywnH,1.26
BSU36570,ywnG,4.69
BSU36580,ywnF,2.26
BSU36590,clsA,0.89
BSU36610,ywnC,4.54
BSU36630,ywnA,3.12
BSU36670,csbD,1.09
BSU36690,rapB,1.13
BSU36700,moaA,4.04
BSU36710,fdhD,1.84
BSU36720,ywmE,5.42
BSU36760,murAA,18.09
BSU36770,ywmB,2.81
BSU36780,ywzB,2.52
BSU36790,ywmA,0.61
BSU36800,atpC,92.86
BSU36810,atpD,65.87
BSU36820,atpG,43.92
BSU36830,atpA,41.63
BSU36840,atpH,30.88
BSU36850,atpF,29.28
BSU36860,atpE,53.77
BSU36870,atpB,29.56
BSU36880,atpI,12.08
BSU36890,upp,5.96
BSU36900,glyA,27.41
BSU36910,ywlG,7.54
BSU36920,ywlF,5.47
BSU36930,ywlE,1.27
BSU36950,ywlC,1.8
BSU36990,ywkF,2.16
BSU37000,prmC,2.68
BSU37010,prfA,14.85
BSU37020,ywkD,1.6
BSU37030,racA,1.62
BSU37060,tdk,1.75
BSU37070,rpmE,253.67
BSU37080,rho,5.42
BSU37090,glpX,13.64
BSU37100,murAB,7.63
BSU37110,ywjH,99.01
BSU37120,fbaA,316.78
BSU37130,spo0F,2.24
BSU37140,ywjG,2.47
BSU37150,pyrG,13.26
BSU37160,rpoE,8.4
BSU37210,ywjC,18.46
BSU37220,ywjB,14.12
BSU37230,ywjA,8.19
BSU37240,ywiE,6.98
BSU37250,narI,1.14
BSU37260,narJ,1.19
BSU37270,narH,1.31
BSU37280,narG,1.65
BSU37310,fnr,3.08
BSU37330,argS,7.5
BSU37340,ywiB,2.36
BSU37350,sboA,2.95
BSU37360,sboX,2.17
BSU37370,albA,2.36
BSU37380,albB,3.88
BSU37390,albC,1.43
BSU37460,rapF,3.05
BSU37470,phrF,6.54
BSU37490,speB,3.69
BSU37500,speE,1.65
BSU37520,ywhD,6.14
BSU37530,ywhC,2.6
BSU37540,ywhB,22.12
BSU37550,ywhA,1.4
BSU37590,ywgA,3.21
BSU37600,ywfO,1.55
BSU37640,ywfL,1.5
BSU37660,eutD,53.98
BSU37670,ywfI,14.82
BSU37690,ywfG,1.08
BSU37780,rocA,2.09
BSU37800,yweA,8.91
BSU37930,ywdK,7.64
BSU37940,ywdJ,3.56
BSU37950,ywdI,1.8
BSU37970,ung,3.68
BSU37980,ywdF,2.16
BSU38020,thiD,5.49
BSU38030,ywdA,14.37
BSU38040,sacA,8.25
BSU38050,sacP,3.1
BSU38060,ywcJ,3.9
BSU38070,sacT,2.04
BSU38100,ywcH,1.31
BSU38110,nfrA,20.13
BSU38120,rodA,2.51
BSU38140,qoxD,132.85
BSU38150,qoxC,115.35
BSU38160,qoxB,78.86
BSU38170,qoxA,72.51
BSU38180,ywzA,18.7
BSU38190,galT,4.23
BSU38200,galK,2.83
BSU38210,ywcD,1.4
BSU38229,slrA,1.82
BSU38250,ywbO,3.85
BSU38260,efeN,14.65
BSU38270,efeM,8.71
BSU38280,efeU,2.5
BSU38290,thiE,4.72
BSU38300,thiM,2.62
BSU38310,ywbI,1.26
BSU38320,ywbH,3.68
BSU38330,lrgB,4.05
BSU38340,ywbF,0.39
BSU38350,ywbE,1.15
BSU38360,ywbD,1.72
BSU38370,ywbC,3.67
BSU38430,gspA,11.9
BSU38480,ywaC,4.15
BSU38490,menA,3.35
BSU38499,ywzH,20.24
BSU38500,dltA,27.99
BSU38510,dltB,29.1
BSU38520,dltC,54.43
BSU38530,dltD,44.78
BSU38540,dltE,61.22
BSU38550,ywaA,4.88
BSU38560,licH,2.05
BSU38570,licA,1.75
BSU38640,yxlH,2.5
BSU38650,yxlG,2.94
BSU38660,yxlF,2.41
BSU38670,yxlE,2.9
BSU38680,yxlD,2.72
BSU38690,yxlC,1.94
BSU38700,sigY,1.03
BSU38730,cydD,18.79
BSU38740,cydC,26.53
BSU38750,cydB,31.72
BSU38760,cydA,22.53
BSU38770,cimH,1.27
BSU38790,yxzE,4.46
BSU38810,msmX,2.43
BSU38850,yxkC,15.96
BSU38860,galE,6.56
BSU38890,yxjN,0.86
BSU38920,pepT,5.25
BSU38930,yxjJ,1.5
BSU38940,yxjI,7.43
BSU38950,yxjH,1.04
BSU38960,yxjG,1.04
BSU39010,yxjB,1.08
BSU39020,yxjA,1.93
BSU39040,yxiS,4.91
BSU39050,katE,3.4
BSU39070,bglS,1.06
BSU39080,licT,2
BSU39110,deaD,3.19
BSU39120,yxiM,1.48
BSU39139,yxzJ,4.15
BSU39140,yxiK,3.38
BSU39150,yxiJ,3.14
BSU39160,yxiI,3.01
BSU39170,yxzG,3.52
BSU39180,yxiH,4.03
BSU39190,yxiG,4.44
BSU39200,yxzC,4.14
BSU39210,yxiF,3.72
BSU39220,yxxG,32.43
BSU39230,wapA,21.71
BSU39250,yxiE,37.49
BSU39260,bglH,4.82
BSU39270,bglP,2.32
BSU39280,yxxE,5.35
BSU39290,yxxD,3.59
BSU39400,pdp,19.52
BSU39410,nupC,12.6
BSU39420,deoC,9.57
BSU39430,deoR,0.88
BSU39440,yxxB,0.77
BSU39550,yxeH,5.54
BSU39560,yxeG,0.63
BSU39570,yxeF,0.58
BSU39580,yxeE,0.6
BSU39600,yxeC,7.15
BSU39610,yxeB,19.07
BSU39670,iolJ,1.59
BSU39680,iolI,1.62
BSU39690,iolH,2.45
BSU39700,iolG,1.97
BSU39710,iolF,1.55
BSU39720,iolE,1.51
BSU39730,iolD,1.28
BSU39740,iolC,1.07
BSU39770,iolR,1.14
BSU39780,iolS,13.11
BSU39790,yxcE,2.61
BSU39800,yxcD,3.5
BSU39810,csbC,9.54
BSU39820,htpG,8.36
BSU39830,yxcA,1.29
BSU39840,yxbG,1.32
BSU39940,yxaL,3.37
BSU39960,yxaI,3.58
BSU39990,yxaF,0.93
BSU40000,yxnA,1.1
BSU40030,yxaB,1.22
BSU40050,gntR,0.23
BSU40060,gntK,0.6
BSU40070,gntP,5.79
BSU40080,gntZ,15.58
BSU40090,ahpC,84.23
BSU40100,ahpF,109.2
BSU40110,bglA,2.83
BSU40120,yyzE,2.23
BSU40140,yydJ,1.2
BSU40190,fbp,2
BSU40200,yydD,3.96
BSU40210,yydC,3.95
BSU40220,yydB,3.14
BSU40230,yydA,1.71
BSU40300,rapG,1.87
BSU40310,phrG,6.37
BSU40320,argI,3.51
BSU40330,rocE,2.47
BSU40340,rocD,2.33
BSU40360,htrC,6.29
BSU40370,yycJ,5.15
BSU40380,yycI,4.73
BSU40390,walH,4.41
BSU40400,walK,2.6
BSU40410,walR,2.58
BSU40420,purA,15.17
BSU40440,dnaC,0.91
BSU40470,yycC,5.01
BSU40480,yycB,5.14
BSU40500,rplI,8.12
BSU40510,yybT,2.16
BSU40520,yybS,1.17
BSU40529,yyzH,3.98
BSU40550,ppaC,31.64
BSU40580,yybN,19.63
BSU40590,yybM,1.38
BSU40620,yybJ,3.49
BSU40650,yybG,1.09
BSU40660,yybF,1.16
BSU40750,yyaQ,1.64
BSU40760,yyaP,1.63
BSU40780,tetL,1.2
BSU40820,yyaL,1.26
BSU40830,yyaK,1.16
BSU40880,exoAA,0.74
BSU40890,rpsR,261.95
BSU40900,ssbA,263.43
BSU40910,rpsF,275.73
BSU40920,yyaF,4.39
BSU40930,yyaE,0.81
BSU40939,yyzM,1.65
BSU40960,parB,10.62
BSU40970,parA,6.71
BSU40980,yyaB,2.19
BSU40990,noc,16.4
BSU41000,gidB,13
BSU41010,gidA,6.66
BSU41020,trmE,2.06
BSU41030,jag,14.65
BSU41040,spoIIIJ,8.93
BSU41050,rnpA,3.74
BSU41060,rpmH,43.32
