locus_tag,gene,mRNA_level
BSU09510,yhdL,2.98
BSU09520,sigM,1.77
BSU09530,yhdN,4.99
BSU09540,plsC,7.49
BSU09550,yhdP,3.11
BSU09560,cueR,2.01
BSU09570,yhdR,1.05
BSU09590,yhdT,1.64
BSU09640,yhdY,1.05
BSU09650,yhdZ,1.06
BSU09660,yheN,2.66
BSU09670,dat,1.98
BSU09680,nhaC,0.5
BSU09690,nhaX,5.2
BSU09730,yheG,2.06
BSU09750,sspB,2.67
BSU09790,yheB,2.18
BSU09800,yheA,34.73
BSU09850,yhaU,0.53
BSU09860,khtT,0.45
BSU09870,khtS,1.53
BSU09880,yhaR,1.58
BSU09890,natA,1.32
BSU09900,natB,2.1
BSU09910,yhaO,0.74
BSU09920,yhaN,1.54
BSU09930,yhaM,5.23
BSU09950,prsA,14.51
BSU09958,yhzE,6.86
BSU09980,yhaI,5.38
BSU09990,hpr,5.35
BSU10000,yhaH,2.7
BSU10010,trpP,12.81
BSU10020,serC,4.94
BSU10030,hinT,19.55
BSU10050,ecsB,2.64
BSU10060,ecsC,4.81
BSU10100,yhgC,12.31
BSU10120,hemE,5.13
BSU10130,hemH,12.51
BSU10140,hemY,9.81
BSU10150,yhgD,1.02
BSU10160,yhgE,1.15
BSU10170,fabHB,1.94
BSU10200,yhfE,5.46
BSU10210,yhfF,7.24
BSU10220,gltT,11.59
BSU10240,yhfI,5.48
BSU10250,yhfJ,8.74
BSU10260,yhfK,14.86
BSU10310,yhfO,1.08
BSU10320,yhfP,5.12
BSU10330,yhfQ,8.6
BSU10340,phoE,1.46
BSU10380,hemAT,1.33
BSU10410,yhzC,1.59
BSU10440,yhjA,36.75
BSU10480,yhjE,1.66
BSU10490,sipV,2.11
BSU10620,addB,1.54
BSU10630,addA,3.22
BSU10640,sbcD,1.97
BSU10650,sbcC,2.51
BSU10660,yisB,4.01
BSU10730,yisI,0.4
BSU10750,yisK,3.62
BSU10760,yisL,8.48
BSU10770,wprA,18.85
BSU10860,yisT,2.59
BSU10990,yitH,1.55
BSU11020,yitK,1.49
BSU11030,yitL,1.29
BSU11110,yitS,1.34
BSU11120,yitT,2.48
BSU11130,ipi,3.72
BSU11139,yizC,2.83
BSU11140,yitU,1.4
BSU11150,yitV,1.65
BSU11160,yitW,6.65
BSU11170,yitY,1.04
BSU11180,yitZ,1.6
BSU11270,yjzD,7.4
BSU11300,med,4.97
BSU11310,comZ,12.33
BSU11320,yjzB,0.63
BSU11330,fabHA,4.63
BSU11340,fabF,11.96
BSU11420,trpS,5.93
BSU11430,oppA,7.6
BSU11440,oppB,1.53
BSU11450,oppC,1.68
BSU11460,oppD,1.93
BSU11470,oppF,2.34
BSU11490,yjbC,23.23
BSU11500,spxA,71.03
BSU11520,mecA,11.15
BSU11540,pepF,9.42
BSU11550,yjbH,3.64
BSU11560,yjbI,2.05
BSU11570,yjbJ,4.81
BSU11590,yjbL,4.58
BSU11600,yjbM,6.05
BSU11610,ppnKA,7.09
BSU11620,yjbO,8.73
BSU11680,thiS,0.33
BSU11690,thiG,0.3
BSU11700,thiF,0.3
BSU11710,yjbV,0.36
BSU11720,fabI,20.59
BSU11740,cotZ,0.2
BSU11750,cotY,0.36
BSU11760,cotX,3.9
BSU11770,cotW,1.36
BSU11780,cotV,3.5
BSU11809,yjcZ,6.2
BSU11810,spoVIF,10.49
BSU11839,yjzE,3.5
BSU11840,yjcF,8.13
BSU11850,yjcG,6.58
BSU11860,yjcH,2.72
BSU11910,yjcM,5.36
BSU11920,yjcN,6.37
BSU11950,yjcQ,1.04
BSU11970,yjcS,3.69
BSU11980,yjdA,3.87
BSU12000,manR,0.66
BSU12010,manP,2.69
BSU12020,manA,4.59
BSU12030,yjdF,4.8
BSU12040,yjdG,0.71
BSU12050,yjdH,0.88
BSU12060,yjdI,2.34
BSU12069,yjzH,9.48
BSU12100,yjeA,1.95
BSU12120,yjfB,2.52
BSU12160,yjgC,0.33
BSU12170,yjgD,0.41
BSU12230,hemD,1.2
BSU12270,yjlB,0.79
BSU12280,rex,56.65
BSU12290,ndh,53.78
BSU12300,uxaC,1.1
BSU12410,yjoA,51.43
BSU12420,yjoB,6.36
BSU12430,rapA,1.81
BSU12440,phrA,1.23
BSU12470,yjqA,5.25
BSU12490,yjqC,0.8
BSU12570,xtmA,1.46
BSU12580,xtmB,1.53
BSU12590,xkdE,1.51
BSU12600,xkdF,3.02
BSU12610,xkdG,3.6
BSU12619,ykzL,5.46
BSU12620,xkdH,4.76
BSU12630,xkdI,3.71
BSU12640,xkdJ,3.86
BSU12649,ykzM,5.56
BSU12650,xkdK,4.56
BSU12660,xkdM,5.89
BSU12671,xkdN,2.98
BSU12672,xkzB,2.43
BSU12680,xkdO,1.56
BSU12690,xkdP,1.54
BSU12700,xkdQ,1.39
BSU12710,xkdR,1.89
BSU12720,xkdS,1.3
BSU12730,xkdT,1.29
BSU12740,xkdU,1.45
BSU12749,xkzA,1.34
BSU12750,xkdV,1.24
BSU12760,xkdW,1.96
BSU12770,xkdX,2.13
BSU12780,xepA,1.53
BSU12790,xhlA,2.16
BSU12800,xhlB,2.43
BSU12810,xlyA,2.27
BSU12820,spoIISB,2.09
BSU12830,spoIISA,0.97
BSU12840,pit,9.17
BSU12850,ykaA,5.65
BSU12860,ykbA,1.34
BSU13010,ykgB,12.81
BSU13020,ykgA,1.63
BSU13030,ykhA,2.23
BSU13110,purU,2.64
BSU13120,proB,1.29
BSU13130,proA,4.36
BSU13140,ohrA,1.77
BSU13150,ohrR,1.68
BSU13160,ohrB,6.84
BSU13169,ykzN,0.8
BSU13200,rsbRB,14.83
BSU13280,ykoJ,0.61
BSU13300,mgtE,4.02
BSU13340,ykoM,7.16
BSU13430,ykoX,1.13
BSU13480,ykrK,1.59
BSU13490,ykrL,19.53
BSU13540,ogt,1.71
BSU13620,mtnD,1.17
BSU13630,ykvA,2.9
BSU13640,spo0E,1.99
BSU13660,kinD,1.38
BSU13670,mhqR,3.65
BSU13680,motB,6.11
BSU13690,motA,3.99
BSU13700,clpE,2.71
BSU13720,queC,0.35
BSU13730,queD,0.69
BSU13740,queE,1.31
BSU13750,ykvM,3.28
BSU13810,ykvS,2.5
BSU13819,ykzS,2.3
BSU13860,ykvY,7.91
BSU13870,ykvZ,1.79
BSU13880,glcT,9.05
BSU13890,ptsG,59.34
BSU13900,ptsH,196.04
BSU13910,ptsI,165.84
BSU13920,splA,1.15
BSU13930,splB,1.06
BSU13950,mcpC,2.14
BSU13960,ykwC,6.98
BSU13980,pbpH,1.01
BSU14000,patA,3.8
BSU14009,ykzT,1.54
BSU14010,cheV,1.8
BSU14020,ykyB,1.1
BSU14030,ykuC,1.45
BSU14071,fadG,2.55
BSU14072,ykzU,3.82
BSU14080,ykuH,0.6
BSU14090,ykuI,1.98
BSU14100,ykuJ,22.56
BSU14110,ykuK,14.4
BSU14120,ykzF,5.3
BSU14130,ykuL,1.88
BSU14140,ccpC,2.12
BSU14150,ykuN,8.11
BSU14160,ykuO,9.51
BSU14170,ykuP,12.2
BSU14180,dapH,22.65
BSU14190,dapL,3.58
BSU14200,ykuS,5.26
BSU14210,ykuT,1.11
BSU14240,rok,7.66
BSU14260,mobA,1.14
BSU14270,moeB,1.48
BSU14280,moeA,2.87
