locus_tag,gene,mRNA_level
b0418,pgpA,1014.14
b0419,yajO,2058.64
b0420,dxs,1040.92
b0421,ispA,1806.52
b0422,xseB,2594.33
b0423,thiI,1113.47
b0424,thiJ,1333.68
b0425,apbA,1252.72
b0426,yajQ,2507.27
b0427,yajR,325.115
b0428,cyoE,2139.97
b0429,cyoD,4447.52
b0430,cyoC,4282.65
b0431,cyoB,5031.92
b0432,cyoA,5931.77
b0433,ampG,420.505
b0434,yajG,2267.42
b0435,bolA,1936.58
b0436,tig,3277.28
b0437,clpP,2017.85
b0438,clpX,1935.03
b0439,lon,1854.17
b0440,hupB,3023.51
b0441,ppiD,1163.15
b0442,ybaV,1080.42
b0443,ybaW,290.465
b0444,ybaX,1287.92
b0445,ybaE,383.279
b0446,cof,729.685
b0447,ybaO,539.718
b0448,mdlA,146.392
b0449,mdlB,180.298
b0450,glnK,448.193
b0451,amtB,1378.83
b0452,tesB,321.444
b0453,ybaY,903.166
b0454,ybaZ,591.483
b0456,ybaA,413.173
b0457,ylaB,344.634
b0458,ylaC,1638.9
b0459,maa,486.225
b0460,hha,2185.12
b0461,ybaJ,2296.75
b0462,acrB,1984.28
b0463,acrA,2501.32
b0464,acrR,130.86
b0465,kefA,757.509
b0466,ybaM,642.823
b0467,priC,1813.91
b0468,ybaN,1432.64
b0469,apt,2014.07
b0470,dnaX,1215.52
b0471,ybaB,2446.82
b0472,recR,1345.9
b0473,htpG,560.92
b0474,adk,3439.54
b0475,hemH,436.421
b0476,aes,85.0754
b0477,gsk,588.731
b0478,ybaL,1081.15
b0479,fsr,220.651
b0480,ushA,1178.5
b0481,ybaK,651.933
b0482,ybaP,871.91
b0483,ybaQ,1136.11
b0484,copA,419.95
b0485,ybaS,1395.82
b0486,ybaT,718.349
b0487,cueR,822.484
b0488,ybbJ,442.426
b0489,ybbK,677.275
b0490,ybbL,471.593
b0491,ybbM,354.574
b0492,ybbN,1564.28
b0493,ybbO,1072.97
b0494,tesA,1197.09
b0495,ybbA,594.398
b0496,ybbP,981.312
b0497,rhsD,315.443
b0498,ybbC,176.607
b0500,ybbD,48.0335
b0503,ybbB,218.188
b0504,ybbS,140.218
b0505,allA,839.944
b0506,allR,1208.14
b0507,gcl,156.273
b0508,hyi,52.134
b0509,glxR,441.093
b0510,ybbV,140.832
b0511,allP,113.821
b0512,allB,130.144
b0513,ybbY,52.3145
b0514,glxK,308.394
b0515,ylbA,305.71
b0516,allC,428.213
b0517,allD,398.754
b0518,fdrA,312.423
b0519,ylbE,469.129
b0520,ylbF,169.408
b0521,arcC,1278.01
b0522,purK,1677.25
b0523,purE,2666.74
b0524,ybbF,759.998
b0525,ppiB,4197.37
b0526,cysS,1307.65
b0527,ybcI,717
b0528,ybcJ,417.756
b0529,folD,2457.79
b0530,sfmA,40.3224
b0531,sfmC,290.419
b0532,sfmD,302.701
b0533,sfmH,42.5727
b0534,sfmF,1246.34
b0535,fimZ,38.313
b0537,intD,346.378
b0541,tra5_2,N.D.
b0543,emrE,277.96
b0544,ybcK,66.4246
b0545,ybcL,70.6913
b0546,ybcM,359.956
b0547,ybcN,103.223
b0548,ninE,193.635
b0549,ybcO,307.01
b0550,rus,178.906
b0551,ybcQ,165.025
b0552,trs5_2,N.D.
b0553,nmpC,4648.63
b0554,ybcR,81.4284
b0555,ybcS,730.08
b0556,ybcT,104.264
b0557,ybcU,1615.92
b0558,ybcV,52.3944
b0559,ybcW,266.823
b0560,nohB,N.D.
b0561,ybcX,349.982
b0562,ybcY,20.2575
b0563,ylcE,72.3861
b0564,appY,63.0545
b0565,ompT,7933.94
b0566,envY,59.3246
b0567,ybcH,849.627
b0568,nfrA,765.506
b0569,nfrB,293.757
b0570,cusS,686.34
b0571,cusR,693.483
b0572,cusC,2213.42
b0573,ylcC,3119.28
b0574,cusB,936.282
b0575,cusA,340.543
b0576,pheP,195.555
b0577,ybdG,419.662
b0578,nfnB,2407.74
b0579,ybdF,516.734
b0580,ybdJ,284.543
b0581,ybdK,757.727
b4415,hokE,N.D.
b0582,yi81_2,N.D.
b0583,entD,81.8596
b0584,fepA,591.225
b0585,fes,663.719
b0586,entF,311.723
b0587,fepE,1009.34
b0588,fepC,949.635
b0589,fepG,250.575
b0590,fepD,393.464
b0591,ybdA,521.255
b0592,fepB,306.643
b0593,entC,588.171
b0594,entE,571.478
b0595,entB,742.557
b0596,entA,1441.07
b0597,ybdB,313.937
b0598,cstA,2128.94
b0599,ybdH,1021.06
b0600,ybdL,282.752
b0601,ybdM,259.091
b0602,ybdN,178.365
b0603,ybdO,48.1396
b0604,dsbG,668.737
b0605,ahpC,6256.41
b0606,ahpF,1680.96
b0607,ybdQ,1011.66
b0608,ybdR,935.204
b0610,rnk,594.323
b0611,rna,827.124
b0612,citT,379.352
b0613,citG,181.74
b0614,ybdU,163.094
b0615,citF,102.866
b0616,citE,136.336
b0617,citD,95.9456
b0618,citC,846.987
b0619,citA,205.809
b0620,citB,355.948
b0621,dcuC,908.758
b0622,crcA,265.85
b0623,cspE,4403.75
b0624,crcB,305.333
b0625,ybeH,885.183
b0626,ybeM,514.313
b0627,tatE,1750.49
b0628,lipA,1156.59
b0629,ybeF,147.921
b0630,lipB,776.878
b0631,ybeD,1303.08
b0632,dacA,1973.43
b0633,rlpA,1440.81
b0634,mrdB,1245.49
b0635,mrdA,471.163
b0636,ybeA,1689.21
b0637,ybeB,N.D.
b0638,phpB,280.391
b0639,nadD,2006.08
b0640,holA,1375.18
b0641,rlpB,1892.93
b0642,leuS,2734.25
b0643,ybeL,1396.13
b0644,ybeQ,58.7288
b0645,ybeR,28.0548
b0646,ybeS,33.0054
b0647,ybeT,71.3719
b0648,ybeU,295.369
b0649,ybeV,94.9866
b0650,hscC,302.991
b0651,rihA,515.28
b0652,gltL,571.545
b0653,gltK,565.065
b0654,gltJ,617.277
b0655,gltI,2272.4
b0656,trs5_3,N.D.
b0657,lnt,1022.44
b0658,ybeX,2332.63
b0659,ybeY,1770.7
b0660,ybeZ,2262.25
b0661,yleA,1288.24
b0662,ubiF,751.283
b0674,asnB,856.689
b0675,nagD,1011.22
b0676,nagC,1075.84
b0677,nagA,1017.88
b0678,nagB,593.76
